distance,j2_value,spin_dot_infinite,slope,r_squared,fit_degree,num_points,qubits,inverse_qubits,spin_dot_values
1,0.714285731316,-0.338087185316,-18.7320664029,0.826307556164,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.484020829201;-0.559007823467;-0.781750023365;-0.821791648865;-0.828890621662;-0.849187552929;-0.868022739887;-0.88514995575;-0.917999982834;-0.931218802929;-1.02237510681;-0.781050026417
1,0.785714268684,-0.3259438561,-14.2524389456,0.84443367561,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.424104124308;-0.488437533379;-0.67703127861;-0.682333290577;-0.693562507629;-0.722187519073;-0.737386286259;-0.755100011826;-0.771500051022;-0.789937496185;-0.751249969006;-0.69479995966
1,0.857142865658,-0.328190311655,-9.49366033411,0.659937565139,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.373166680336;-0.427242189646;-0.577843725681;-0.574333250523;-0.577125012875;-0.620687544346;-0.618681788445;-0.640200018883;-0.643416702747;-0.680531263351;-0.539875030518;-0.680849969387
1,0.928571403027,-0.319377799444,-6.37048471779,0.411093224893,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.331479161978;-0.381210923195;-0.496781259775;-0.486374974251;-0.496171861887;-0.521624982357;-0.535840928555;-0.563699960709;-0.548333346844;-0.592031300068;-0.383625000715;-0.650849997997
1,1,-0.30568890744,-3.99067487691,0.315750797117,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,-0.291687488556;-0.338999986649;-0.42306253314;-0.422000020742;-0.438187479973;-0.457999974489;-0.455454558134;-0.485774993896;-0.469999998808;-0.513374984264;-0.298499971628;-0.622799992561
2,0,0.231277423636,10.0779980186,0.983130853308,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.332833319902;0.376687526703;0.428343772888;0.498958319426;0.525984406471;0.552250027657;0.595227241516;0.620700001717;0.615249991417;0.667593717575;0.745249986649;0.761099994183
2,0.0714285746217,0.227020116312,10.189745954,0.981111118561,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.336874991655;0.370078116655;0.426124960184;0.486958354712;0.521718740463;0.551312446594;0.583159089088;0.610349953175;0.596000015736;0.661968767643;0.733500003815;0.721499979496
2,0.142857149243,0.211166446803,10.6393631426,0.975966672615,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.326937526464;0.357585936785;0.420500010252;0.482583373785;0.516609370708;0.522125005722;0.578522741795;0.599474966526;0.596000015736;0.671062529087;0.698750019073;0.699450016022
2,0.214285716414,0.215019764047,9.91782106745,0.980108058248,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.315020829439;0.357328087091;0.410343766212;0.46658334136;0.495562463999;0.511562526226;0.563045442104;0.576975047588;0.577916681767;0.630562484264;0.659874975681;0.67199999094
2,0.285714298487,0.174658239958,10.8239921417,0.973659775526,2,12,72;64;48;36;32;24;22;20;18;16;12;10,0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.287874996662;0.325124979019;0.380187511444;0.442000001669;0.46640625596;0.500750005245;0.530045509338;0.562124967575;0.550249993801;0.606562495232;0.586499989033;0.613050043583
