distance,g_value,zz_infinite,slope,r_squared,fit_degree,num_points,qubits,inverse_qubits,zz_values
1,1,0.0680301076226,-0.634963838892,0.756204984982,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.0607500001788;0.0639166608453;0.0676875039935;0.0678749978542;0.0513750016689;0.0494999997318;0.0344375036657;0.0249545443803;0.0314250029624;0.0209999997169;0.015468750149;0.0205000005662;0.0209999997169
2,0,0.990763230599,0.0886223757053,0.239681643936,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.987468779087;0.995958328247;0.995765566826;0.992625057697;1.00075006485;0.991617202759;0.990999996662;0.989931821823;0.991725027561;0.997333347797;0.995249986649;0.993624925613;1.00634992123
2,0.10000000149,0.991231131285,0.0697658957527,0.206266166032,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.990875005722;0.986291646957;0.992578089237;0.994218707085;0.997687458992;0.993726551533;0.997749984264;0.995181798935;0.994349956512;0.998833358288;0.99093747139;0.990375041962;1.00215005875
2,0.20000000298,0.977216930857,0.0449610769167,0.14566392232,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.979156255722;0.973625004292;0.97335934639;0.977484345436;0.982624948025;0.977203130722;0.984187543392;0.980727255344;0.982124984264;0.98016667366;0.979687452316;0.977874994278;0.980700016022
2,0.300000011921,0.901258980199,0.628947055645,0.787890353743,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.90084373951;0.903541684151;0.898921906948;0.908390641212;0.92312502861;0.929109334946;0.929875075817;0.94131821394;0.944774925709;0.943333387375;0.944999992847;0.950375020504;0.948900043964
2,0.40000000596,0.742754051195,1.78993911349,0.723916042135,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.724312484264;0.737041652203;0.747656226158;0.761578142643;0.804062485695;0.823570370674;0.849937438965;0.858340799809;0.862049996853;0.87191671133;0.867937505245;0.87612503767;0.870599985123
2,0.5,0.489731750391,1.36915314616,0.63609357764,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.44399997592;0.495250016451;0.501140654087;0.51928126812;0.536000013351;0.548085927963;0.578687489033;0.599590957165;0.582374989986;0.577333271503;0.566718757153;0.590250015259;0.592200040817
2,0.600000023842,0.174667044898,0.237418237921,0.12875394901,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.156124994159;0.192874997854;0.197671890259;0.179578125477;0.170625001192;0.18541406095;0.19212500751;0.202227279544;0.191474989057;0.163750007749;0.156656250358;0.207250013947;0.207449987531
2,0.699999988079,0.0718655594699,0.014335463195,0.00126502493225,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.0573437511921;0.0753749981523;0.0816562473774;0.0845624953508;0.0775625035167;0.08001562953;0.0694375038147;0.0696818158031;0.071624994278;0.0598333366215;0.0496875010431;0.081625007093;0.0838500037789
2,0.800000011921,0.0411613359166,-0.214991498721,0.537918824335,1,13,96;72;64;48;36;32;24;22;20;18;16;12;10,0.0104166666667;0.0138888888889;0.015625;0.0208333333333;0.0277777777778;0.03125;0.0416666666667;0.0454545454545;0.05;0.0555555555556;0.0625;0.0833333333333;0.1,0.0355312526226;0.039416667074;0.0440156236291;0.0436875000596;0.0331250019372;0.0358593761921;0.0294999983162;0.0329318195581;0.0280499979854;0.0202500000596;0.0183749999851;0.0298749972135;0.0244499985129
